Base\Фактор\Пошкодження\Втомна тріщина;SubClassOf;Base\Фактор\Пошкодження
Base\Фактор\Стопоріння\Фрикційне;SubClassOf;Base\Фактор\Стопоріння
Base\Фактор\Пошкодження\Заїдання;isCause;Base\Фактор\Напруження\Кручення
Base\Фактор\Покриття\Кадмієве з хроматуванням;isCause;Base\Фактор\Покриття\Електрохімічна обробка
Base\Фактор\Покриття\Цинкове;isCause;Base\Фактор\Температура\Робоча температура\Максимальна\200
Base\Фактор\Загальні напрямки підвищення надійності\Центрування різьби запобігання згину;isCause;Base\Фактор\Напруження\Згину\Зменшення
Base\Фактор\Матеріал\Високоміцні сталі болтів\Сталь07Х16Н6;isCause;Base\Фактор\Матеріал\Холодноламкість\Низька
Base\Фактор\Пошкодження\Залишкова деформація\Зріз витків;Not;Base\Фактор\Пошкодження\Залишкова деформація\Зріз витків\Зменшення
Base\Фактор\Конструкційні елементи\Різьба\Характер поверхні\Конічна;isCause;Base\Фактор\Герметичність
Base\Фактор\Міцність\За зрізуючого навантаження;SubClassOf;Base\Фактор\Міцність
Base\Фактор\Геометричні параметри\Шорсткість\Висока;isCause;Base\Фактор\Пошкодження\Заїдання
Base\Фактор\Матеріал\Вуглець у поверхневих шарах;Not;Base\Фактор\Матеріал\Вуглець у поверхневих шарах\Зменшення
Base\Фактор\Геометричні параметри\Розмір\Діаметр різьби\Великий\З концентратором напружень;isCause;Base\Фактор\Міцність\За циклічного навантаження\Низька
Base\Фактор\Геометричні параметри\Посадка\З натягом;isCause;Base\Фактор\Пошкодження\Заїдання
Base\Фактор\Загальні напрямки підвищення надійності\Зменшення концентрації напружень;isCause;Base\Фактор\Концентрація напружень\Низька
Base\Фактор\Геометричні параметри\Посадка\З зазором\Зменшення діаметральних зазорів;isCause;Base\Фактор\Пошкодження\Заїдання
Base\Фактор\Технологія\Технологічні дефекти;isCause;Base\Фактор\Міцність\За статичного навантаження\Низька
Base\Фактор\Пошкодження\Знос;SubClassOf;Base\Фактор\Пошкодження
Base\Фактор\Напруження\Зрізу;Not;Base\Фактор\Напруження\Зрізу\Зменшення
Base\Фактор\Конструкційні елементи\Розташування різьбової частини болта\Вільні витки болта;isCause;Base\Фактор\Концентрація напружень\Нерівномірне навантаження по виткам різьби\Низьке
Base\Фактор\Покриття\Оксидне;isCause;Base\Фактор\Тертя\Зміна коефіцієнта тертя під час повторних згвинчуваннях\Збільшується
Base\Фактор\Навантаження\Крутне\Розгвинчування;isCause;Base\Фактор\Пошкодження\Самовідгвинчування
Base\Фактор\Складання\Очищення різьби;isCause;Base\Фактор\Згвинчуваність\Добра
Base\Фактор\Жорсткість\З'єднуваних деталей\Мала;isCause;Base\Фактор\Міцність\За циклічного навантаження\Низька
Base\Фактор\Температура\Робоча температура\Висока;isCause;Base\Фактор\Матеріал\Повзучість
Base\Фактор\Герметичність;Not;Base\Фактор\Герметичність\Низька
Base\Фактор\Геометричні параметри\Розмір\Типорозмір різьби\Великий;isCause;Base\Фактор\Маса\Велика
Base\Фактор\Матеріал\Термообробка\Гартування;SubClassOf;Base\Фактор\Матеріал\Термообробка
Base\Фактор\Тертя\На різьбі\Велике;isCause;Base\Фактор\Пошкодження\Заїдання
Base\Фактор\Покриття\Оксидне;isCause;Base\Фактор\Залишкові напруження\Стиску
Base\Фактор\Матеріал\Термообробка\Хіміко-термічна обробка;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
Base\Фактор\Технологія\Метод виготовлення\Накатування\Стійкість інструмента\Низька;Not;Base\Фактор\Технологія\Метод виготовлення\Накатування\Стійкість інструмента
Base\Фактор\Матеріал\Високоміцні сталі болтів;isCause;Base\Фактор\Пошкодження\Самовідгвинчування\Зменшення
Base\Фактор\Навантаження\Крутне\Догвинчування;SubClassOf;Base\Фактор\Навантаження\Крутне
Base\Фактор\Складання\Часте згвинчування розгвинчування;isCause;Base\Фактор\Пошкодження\Знос
Base\Фактор\Концентрація напружень\Нерівномірне навантаження по виткам різьби;Not;Base\Фактор\Концентрація напружень\Нерівномірне навантаження по виткам різьби\Низьке
Base\Фактор\Міцність\За статичного навантаження;SubClassOf;Base\Фактор\Міцність
Base\Фактор\Пошкодження\Заїдання;SubClassOf;Base\Фактор\Пошкодження
Base\Фактор\Деталі\Протектори;isCause;Base\Фактор\Пошкодження\Знос\Зменшення
Base\Фактор\Геометричні параметри\Розмір\Перекриття витків\Мале;isCause;Base\Фактор\Пошкодження\Залишкова деформація\Зріз витків
Base\Фактор\Матеріал\Повзучість;isCause;Base\Фактор\Пошкодження\Самовідгвинчування
Base\Фактор\Пошкодження\Втомна тріщина\В останньому витку муфти;SubClassOf;Base\Фактор\Пошкодження\Втомна тріщина
Base\Фактор\Тертя\На упорному бурті\Велике;isCause;Base\Фактор\Згвинчуваність\Погана
Base\Фактор\Загальні напрямки підвищення надійності\Підбір матеріалів і термообробки;isCause;Base\Фактор\Пошкодження\Корозійна\Низька
Base\Фактор\Геометричні параметри\Допуск форми\Перекос опорних поверхонь\Зменшення;Not;Base\Фактор\Геометричні параметри\Допуск форми\Перекос опорних поверхонь
Base\Фактор\Геометричні параметри\Розмір\Довжина згвинчування\Мала;isCause;Base\Фактор\Пошкодження\Залишкова деформація\Зріз витків
Base\Фактор\Покриття\Кадмієве з хроматуванням;isCause;Base\Фактор\Тертя\На різьбі\Мале
Base\Фактор\Геометричні параметри\Допуск форми\Чутливість до перекосу;isCause;Base\Фактор\Міцність\За статичного навантаження\Низька
Base\Фактор\Загальні напрямки підвищення надійності\Запобігання заїдань;isCause;Base\Фактор\Пошкодження\Заїдання\Зменшення
Base\Фактор\Матеріал\Високоміцні сталі болтів\Кадміювання;isCause;Base\Фактор\Міцність
Base\Фактор\Матеріал\Жароміцні сплави\Висока робоча температура;isCause;Base\Фактор\Пошкодження\Заїдання
Base\Фактор\Матеріал\Високоміцні сталі болтів\Сталь07Х16Н6;SubClassOf;Base\Фактор\Матеріал\Високоміцні сталі болтів
Base\Фактор\Середовище\Корозійне;Not;Base\Фактор\Середовище\Корозійне\Захист
Base\Фактор\Складання\Момент згвинчування\Неоптимальний\Великий;Not;Base\Фактор\Складання\Момент згвинчування\Неоптимальний\Малий
Base\Фактор\Пошкодження\Залишкова деформація;isCause;Base\Фактор\Пошкодження\Заїдання
Base\Фактор\Матеріал\Пластичність\Низька;Not;Base\Фактор\Матеріал\Пластичність\Висока
Base\Фактор\Матеріал\Термообробка\Відпуск\Збільшення температури відпуску;isCause;Base\Фактор\Геометричні параметри\Допуск форми\Нечутливість до перекосу
Base\Фактор\Матеріал\Вуглець фосфор азот на границях зерен;isCause;Base\Фактор\Пошкодження\Корозійне розтріскування
Base\Фактор\Матеріал\Високоміцні сталі болтів\Зниження водневої крихкості;isCause;Base\Фактор\Міцність
Base\Фактор\Матеріал\Високоміцні сталі болтів\Накатування;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
Base\Фактор\Загальні напрямки підвищення надійності\Вибір оптимальної технології;isCause;Base\Фактор\Залишкові напруження\Стиску
Base\Фактор\Конструкційні елементи\Різьба\Збіг;isCause;Base\Фактор\Міцність\За статичного навантаження\Висока
Base\Фактор\Матеріал\Високоміцні сталі болтів\Сталь07Х16Н6\Обробка холодом;isCause;Base\Фактор\Матеріал\Чутливість до концентрації напружень\Низька
Base\Фактор\Конструкційні елементи\Різьба\Податливі витки\Перші витки гайки;isCause;Base\Фактор\Концентрація напружень\Нерівномірне навантаження по виткам різьби\Низьке
Base\Фактор\Масштабний фактор\Великі розміри;isCause;Base\Фактор\Міцність\За циклічного навантаження\Низька
Base\Фактор\Напруження\Згину\Зменшення;Not;Base\Фактор\Напруження\Згину
Base\Фактор\Пошкодження\Знос\Адгезійний;SubClassOf;Base\Фактор\Пошкодження\Знос
Base\Фактор\Матеріал\Титанові сплави;isCause;Base\Фактор\Матеріал\Пластичність\Низька
Base\Фактор\Концентрація напружень\Під головкою болта;isCause;Base\Фактор\Пошкодження\Втомна тріщина\Під головкою болта
Base\Фактор\Матеріал\Титанові сплави;isCause;Base\Фактор\Залишкові напруження\Розтягу\Чутливість
Base\Фактор\Пошкодження\Залишкова деформація;SubClassOf;Base\Фактор\Пошкодження
Base\Фактор\Міцність\За циклічного навантаження;SubClassOf;Base\Фактор\Міцність
Base\Фактор\Конструкційні елементи\Різьба\Напрям гвинтової лінії\Ліва;Not;Base\Фактор\Конструкційні елементи\Різьба\Напрям гвинтової лінії\Права
Base\Фактор\Деталі\Сферична шайба;isCause;Base\Фактор\Напруження\Згину\Зменшення
Base\Фактор\Жорсткість\Болта;Not;Base\Фактор\Жорсткість\Болта\Мала
Base\Фактор\Конструкційні елементи\Різьба\Обтиск останніх витків різьби муфти;isCause;Base\Фактор\Концентрація напружень\Нерівномірне навантаження по виткам різьби\Низьке
Base\Фактор\Тертя\На різьбі\Велике;isCause;Base\Фактор\Згвинчуваність\Погана
Base\Фактор\Матеріал\Холодноламкість;isCause;Base\Фактор\Міцність\За статичного навантаження\Низька
Base\Фактор\Геометричні параметри\Розмір\Діаметр зарізьбової канавки\Великий;Not;Base\Фактор\Геометричні параметри\Розмір\Діаметр зарізьбової канавки\Малий
Base\Фактор\Матеріал\Високоміцні сталі болтів\Полірування;isCause;Base\Фактор\Міцність
Base\Фактор\Матеріал\Високоміцні сталі болтів;isCause;Base\Фактор\Геометричні параметри\Допуск форми\Чутливість до перекосу
Base\Фактор\Покриття\Цинкове з хроматуванням;isCause;Base\Фактор\Температура\Робоча температура\Максимальна\300
Base\Фактор\Технологія\Режими обробки\Оптимальні;isCause;Base\Фактор\Залишкові напруження\Стиску
Base\Фактор\Навантаження\Осьове\Розтягу;isCause;Base\Фактор\Пошкодження\Залишкова деформація\Обрив стержня
Base\Фактор\Концентрація напружень;isCause;Base\Фактор\Міцність\За циклічного навантаження\Низька
Base\Фактор\Деталі\Гайка\Гайка розтягу-стиску;isCause;Base\Фактор\Концентрація напружень\Нерівномірне навантаження по виткам різьби\Низьке
Base\Фактор\Пошкодження\Знос\Фретинг-корозійний;SubClassOf;Base\Фактор\Пошкодження\Знос
Base\Фактор\Складання\Контроль затягування\Контроль за видовженням болта;SubClassOf;Base\Фактор\Складання\Контроль затягування
Base\Фактор\Технологія\Метод виготовлення\Піскоструминна обробка;isCause;Base\Фактор\Пошкодження\Крихкий злам\Уповільнене крихке руйнування\Низьке
Base\Фактор\Концентрація напружень;isCause;Base\Фактор\Міцність\За статичного навантаження\Низька
Base\Фактор\Покриття\Срібне;isCause;Base\Фактор\Температура\Робоча температура\Максимальна\600
Base\Фактор\Геометричні параметри\Розмір\Перекриття витків\Велике;isCause;Base\Фактор\Міцність
Base\Фактор\Матеріал\Бериллієві сплави;isCause;Base\Фактор\Матеріал\Чутливість до концентрації напружень
Base\Фактор\Залишкові напруження\Стиску\За високої температури;And;Base\Фактор\Залишкові напруження\Стиску
Base\Фактор\Напруження\Зрізу;isCause;Base\Фактор\Пошкодження\Залишкова деформація\Зріз стержня
Base\Фактор\Конструкційні елементи\Різьба\Фаски\Зріз перших витків різьби муфти;isCause;Base\Фактор\Концентрація напружень\Нерівномірне навантаження по виткам різьби\Низьке
Base\Фактор\Залишкові напруження\Розтягу;isCause;Base\Фактор\Міцність\За циклічного навантаження\Низька
Base\Фактор\Покриття\Кадмієве з хроматуванням;isCause;Base\Фактор\Температура\Робоча температура\Максимальна\200
Base\Фактор\Геометричні параметри\Посадка\Оптимальна;isCause;Base\Фактор\Концентрація напружень\Низька
Base\Фактор\Навантаження\Осьове\Розтягу;Not;Base\Фактор\Навантаження\Осьове\Стиску
Base\Фактор\Покриття\Оксидне анодізаційне з хроматуванням;isCause;Base\Фактор\Температура\Робоча температура\Максимальна\200
Base\Фактор\Навантаження\Тиск;isCause;Base\Фактор\Середовище\Корозійне
Base\Фактор\Геометричні параметри\Розмір\Кут профілю\Малий;isCause;Base\Фактор\Пошкодження\Залишкова деформація\Зріз витків
Base\Фактор\Матеріал\Надвисокоміцні сталі;isCause;Base\Фактор\Матеріал\Пластичність\Низька
Base\Фактор\Навантаження\Зрізаюче;isCause;Base\Фактор\Напруження\Зрізу
Base\Фактор\Матеріал\Протекторний захист;isCause;Base\Фактор\Пошкодження\Корозійна\Низька
Base\Фактор\Матеріал\Високоміцні сталі болтів;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
Base\Фактор\Стопоріння\Жорстке;SubClassOf;Base\Фактор\Стопоріння
Base\Фактор\Загальні напрямки підвищення надійності\Вибір оптимальних допусків і шорсткості;isCause;Base\Фактор\Концентрація напружень\Низька
Base\Фактор\Матеріал\Технологічні дефекти матеріалів;isCause;Base\Фактор\Концентрація напружень
Base\Фактор\Пошкодження\Корозійна;isCause;Base\Фактор\Пошкодження\Заїдання
Base\Фактор\Матеріал\Наявність азоту;isCause;Base\Фактор\Матеріал\Крихкість
Base\Фактор\Пошкодження\Втомна тріщина\В першому витку ніпеля;SubClassOf;Base\Фактор\Пошкодження\Втомна тріщина
Base\Фактор\Геометричні параметри\Розмір\Радіус впадин різьби\Збільшення;isCause;Base\Фактор\Пошкодження\Крихкий злам\Уповільнене крихке руйнування\Низьке
Base\Фактор\Навантаження\Температурне;Not;Base\Фактор\Навантаження\Температурне\Зменшення
Base\Фактор\Матеріал\Алюмінієві сплави;isCause;Base\Фактор\Маса\Мала
Base\Фактор\Залишкові напруження\Розтягу;Not;Base\Фактор\Залишкові напруження\Стиску
Base\Фактор\Згвинчуваність\Погана;isCause;Base\Фактор\Пошкодження\Знос
Base\Фактор\Матеріал\Високоміцні сталі болтів\Сталь07Х16Н6;isCause;Base\Фактор\Матеріал\Пластичність\Висока
Base\Фактор\Конструкційні елементи\Різьба\Форма профілю\Упорна;isCause;Base\Фактор\Концентрація напружень\Нерівномірне навантаження по виткам різьби
Base\Фактор\Навантаження\Зрізаюче;isCause;Base\Фактор\Пошкодження\Залишкова деформація\Зріз стержня
Base\Фактор\Геометричні параметри\Розмір\Кут профілю\Великий;isCause;Base\Фактор\Пошкодження\Залишкова деформація\Деформація тіла гайки
Base\Фактор\Розкриття стику;isCause;Base\Фактор\Герметичність\Низька
Base\Фактор\Геометричні параметри\Розмір\Кут профілю\Великий;Not;Base\Фактор\Геометричні параметри\Розмір\Кут профілю\Малий
Base\Фактор\Матеріал\Крихкий поверхневий шар;isCause;Base\Фактор\Пошкодження\Крихкий злам\Уповільнене крихке руйнування
Base\Фактор\Покриття\Корозійностійкі;isCause;Base\Фактор\Пошкодження\Корозійна\Низька
Base\Фактор\Покриття\Срібне;isCause;Base\Фактор\Тертя\На різьбі\Мале
Base\Фактор\Навантаження\Удар;isCause;Base\Фактор\Пошкодження\Від високошвидкісного навантаження
Base\Фактор\Матеріал\Високоміцні сталі болтів\Сталь1Х15Н4АМ3-Ш\Обробка холодом;isCause;Base\Фактор\Матеріал\Чутливість до концентрації напружень\Низька
Base\Фактор\Матеріал\Вуглець у поверхневих шарах\Оптимальний;Not;Base\Фактор\Матеріал\Вуглець у поверхневих шарах\Неоптимальний
Base\Фактор\Конструкційні елементи\Форма головки болта\Двухрадіусна галтель;isCause;Base\Фактор\Концентрація напружень\Під головкою болта\Низька
Base\Фактор\Технологія\Метод виготовлення\Полірування;isCause;Base\Фактор\Пошкодження\Крихкий злам\Уповільнене крихке руйнування\Низьке
Base\Фактор\Матеріал\Насичення атомарним воднем;isCause;Base\Фактор\Матеріал\Крихкість
Base\Фактор\Матеріал\Високоміцні сталі болтів\Накатування;isCause;Base\Фактор\Технологія\Метод виготовлення\Накатування\Стійкість інструмента\Низька
Base\Фактор\Геометричні параметри\Розмір\Крок різьби\Великий;isCause;Base\Фактор\Пошкодження\Залишкова деформація\Зріз витків\Зменшення
Base\Фактор\Конструкційні елементи\Форма головки болта\Оптимальна;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
Base\Фактор\Складання\Контроль затягування;isCause;Base\Фактор\Складання\Момент згвинчування\Оптимальний
Base\Фактор\Матеріал\Термообробка\Гартування\Перегрів при гартуванні;isCause;Base\Фактор\Матеріал\Крихкість
Base\Фактор\Температура\Робоча температура\Низька;isCause;Base\Фактор\Матеріал\Холодноламкість
Base\Фактор\Пошкодження\Корозійне розтріскування;SubClassOf;Base\Фактор\Пошкодження
Base\Фактор\Міцність\За статичного навантаження\Висока;Not;Base\Фактор\Міцність\За статичного навантаження\Низька
Base\Фактор\Матеріал\Високоміцні сталі болтів\За високих моментів згвинчування і агресивного середовища;isCause;Base\Фактор\Пошкодження\Корозійне розтріскування
Base\Фактор\Покриття\Багатошарове мідь-нікель, хром;isCause;Base\Фактор\Температура\Робоча температура\Максимальна\600
Base\Фактор\Пошкодження\Розгерметизація;SubClassOf;Base\Фактор\Пошкодження
Base\Фактор\Температура\Робоча температура\Висока;Not;Base\Фактор\Температура\Робоча температура\Низька
Base\Фактор\Геометричні параметри\Розмір\Відношення діаметру до кроку\Велике;isCause;Base\Фактор\Концентрація напружень\Нерівномірне навантаження по виткам різьби
Base\Фактор\Складання\Момент згвинчування\Оптимальний;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
Base\Фактор\Геометричні параметри\Допуск форми\Перекос опорних поверхонь\Зменшення;Not;Base\Фактор\Геометричні параметри\Допуск форми\Перекос опорних поверхонь\Великий
Base\Фактор\Матеріал\Жароміцні сплави\Висока робоча температура;isCause;Base\Фактор\Матеріал\Чутливість до концентрації напружень
Base\Фактор\Навантаження\Згинаюче;isCause;Base\Фактор\Напруження\Згину
Base\Фактор\Покриття\Оптимальне;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
Base\Фактор\Технологія\Попередній статичний розтяг високоміцних болтів;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
Base\Фактор\Пошкодження\Залишкова деформація\Зріз стержня;SubClassOf;Base\Фактор\Пошкодження\Залишкова деформація
Base\Фактор\Покриття\Травлення під час нанесення покриттів;isCause;Base\Фактор\Матеріал\Насичення атомарним воднем
Base\Фактор\Середовище\Корозійне;isCause;Base\Фактор\Пошкодження\Корозійна
Base\Фактор\Маса\Мала;Not;Base\Фактор\Маса\Велика
Base\Фактор\Геометричні параметри\Шорсткість\Висока;isCause;Base\Фактор\Пошкодження\Знос
Base\Фактор\Температура\Робоча температура\Висока;isCause;Base\Фактор\Пошкодження\Заїдання
Base\Фактор\Навантаження\Температурне;isCause;Base\Фактор\Навантаження\Осьове\Розтягу
Base\Фактор\Матеріал\Вуглець у поверхневих шарах\Неоптимальний;isCause;Base\Фактор\Міцність\За циклічного навантаження\Низька
Base\Фактор\Залишкові напруження\Стиску\За високої температури;isCause;Base\Фактор\Міцність\За циклічного навантаження\Низька
Base\Фактор\Пошкодження\Корозійна;isCause;Base\Фактор\Герметичність\Низька
Base\Фактор\Матеріал\Кремнієві сталі;isCause;Base\Фактор\Пошкодження\Заїдання\Зменшення
Base\Фактор\Матеріал\Термообробка\Хіміко-термічна обробка;SubClassOf;Base\Фактор\Матеріал\Термообробка
Base\Фактор\Рухомість з'єднання;Not;Base\Фактор\Рухомість з'єднання\Низька
Base\Фактор\Температура\Робоча температура\Висока;isCause;Base\Фактор\Міцність\За циклічного навантаження\Низька
Base\Фактор\Геометричні параметри\Шорсткість\Висока;isCause;Base\Фактор\Пошкодження\Корозійна
Base\Фактор\Конструкційні елементи\Різьба\Розтиск перших витків різьби муфти;isCause;Base\Фактор\Концентрація напружень\Нерівномірне навантаження по виткам різьби\Низьке
Base\Фактор\Стопоріння;isCause;Base\Фактор\Пошкодження\Самовідгвинчування\Зменшення
Base\Фактор\Матеріал\Чутливість до концентрації напружень;isCause;Base\Фактор\Концентрація напружень
Base\Фактор\Загальні напрямки підвищення надійності\Попередження самовідгвинчування;isCause;Base\Фактор\Пошкодження\Самовідгвинчування\Зменшення
Base\Фактор\Конструкційні елементи\Зарізьбова канавка;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
Base\Фактор\Геометричні параметри\Шорсткість\Низька;Not;Base\Фактор\Геометричні параметри\Шорсткість\Висока
Base\Фактор\Матеріал\Наявність фосфору;isCause;Base\Фактор\Матеріал\Крихкість
Base\Фактор\Покриття\Олов'яне;isCause;Base\Фактор\Тертя\На різьбі\Мале
Base\Фактор\Залишкові напруження\Стиску\За високої температури;And;Base\Фактор\Температура\Робоча температура\Висока
Base\Фактор\Пошкодження\Знос;isCause;Base\Фактор\Герметичність\Низька
Base\Фактор\Конструкційні елементи\Різьба\Збіг;isCause;Base\Фактор\Міцність\За циклічного навантаження\Низька
Base\Фактор\Матеріал\Бесемерівська сталь;isCause;Base\Фактор\Матеріал\Наявність азоту
Base\Фактор\Геометричні параметри\Допуск форми\Чутливість до перекосу;Not;Base\Фактор\Геометричні параметри\Допуск форми\Нечутливість до перекосу
Base\Фактор\Складання\Згвинчування в нагрітому стані;isCause;Base\Фактор\Геометричні параметри\Посадка\З натягом
Base\Фактор\Геометричні параметри\Шорсткість\Низька\Леговані сталі;isCause;Base\Фактор\Концентрація напружень\Низька
